iteration	loss	baseline	error	formula	error	
1	0.00957478	0.16526328	0.16526328	0.00003697	(((((-0.1107*((x0)**4)+0.3652*((x1)**4)+-0.2938*((x2)**4)+0.0055))-((-0.0826*((x0)**2)+0.0883*((x1)**2)+-0.3875*((x2)**2)+0.0141))))*((0.2857*(sin(x0))+0.1052*(sin(x1))+0.2011*(sin(x2))+-0.0440)))	
2	0.01226545	0.16529213	0.16584039	0.00003697	(((((-0.1107*((x0)**4)+0.3652*((x1)**4)+-0.2938*((x2)**4)+0.0055))-((-0.0826*((x0)**2)+0.0883*((x1)**2)+-0.3875*((x2)**2)+0.0141))))*((0.2857*(sin(x0))+0.1052*(sin(x1))+0.2011*(sin(x2))+-0.0440)))	
3	0.01057612	0.16509487	0.16134667	0.00003697	(((((-0.1107*((x0)**4)+0.3652*((x1)**4)+-0.2938*((x2)**4)+0.0055))-((-0.0826*((x0)**2)+0.0883*((x1)**2)+-0.3875*((x2)**2)+0.0141))))*((0.2857*(sin(x0))+0.1052*(sin(x1))+0.2011*(sin(x2))+-0.0440)))	
4	0.01945063	0.16513076	0.16581284	0.00003694	(((((0.2007*((x0)**2)+-0.5873*((x1)**2)+-0.3205*((x2)**2)+0.0091))*((0.3116*(exp(x0))+-0.1340*(exp(x1))+-0.1296*(exp(x2))+0.2682))))*((0.0556*(x0)+-0.1789*(x1)+-0.5798*(x2)+0.0211)))	
5	0.00865046	0.16508676	0.16425069	0.00003694	(((((0.2007*((x0)**2)+-0.5873*((x1)**2)+-0.3205*((x2)**2)+0.0091))*((0.3116*(exp(x0))+-0.1340*(exp(x1))+-0.1296*(exp(x2))+0.2682))))*((0.0556*(x0)+-0.1789*(x1)+-0.5798*(x2)+0.0211)))	
6	0.02231580	0.16503438	0.16403903	0.00003694	(((((0.2007*((x0)**2)+-0.5873*((x1)**2)+-0.3205*((x2)**2)+0.0091))*((0.3116*(exp(x0))+-0.1340*(exp(x1))+-0.1296*(exp(x2))+0.2682))))*((0.0556*(x0)+-0.1789*(x1)+-0.5798*(x2)+0.0211)))	
7	0.01096000	0.16498984	0.16414382	0.00003664	(((((-0.3058*(sin(x0))+0.2980*(sin(x1))+-0.2806*(sin(x2))+0.0422))+((0.1083*((x0)**3)+-0.2094*((x1)**3)+0.1138*((x2)**3)+-0.0306))))*((0.0836*((x0)**2)+-0.4362*((x1)**2)+-0.3004*((x2)**2)+-0.0014)))	
8	0.01220965	0.16486262	0.16244531	0.00003664	(((((-0.3058*(sin(x0))+0.2980*(sin(x1))+-0.2806*(sin(x2))+0.0422))+((0.1083*((x0)**3)+-0.2094*((x1)**3)+0.1138*((x2)**3)+-0.0306))))*((0.0836*((x0)**2)+-0.4362*((x1)**2)+-0.3004*((x2)**2)+-0.0014)))	
9	0.01402301	0.16482991	0.16420841	0.00003664	(((((-0.3058*(sin(x0))+0.2980*(sin(x1))+-0.2806*(sin(x2))+0.0422))+((0.1083*((x0)**3)+-0.2094*((x1)**3)+0.1138*((x2)**3)+-0.0306))))*((0.0836*((x0)**2)+-0.4362*((x1)**2)+-0.3004*((x2)**2)+-0.0014)))	
10	0.01100147	0.16483928	0.16501756	0.00003664	(((((-0.3058*(sin(x0))+0.2980*(sin(x1))+-0.2806*(sin(x2))+0.0422))+((0.1083*((x0)**3)+-0.2094*((x1)**3)+0.1138*((x2)**3)+-0.0306))))*((0.0836*((x0)**2)+-0.4362*((x1)**2)+-0.3004*((x2)**2)+-0.0014)))	
11	0.01270807	0.16478476	0.16374873	0.00003664	(((((-0.3058*(sin(x0))+0.2980*(sin(x1))+-0.2806*(sin(x2))+0.0422))+((0.1083*((x0)**3)+-0.2094*((x1)**3)+0.1138*((x2)**3)+-0.0306))))*((0.0836*((x0)**2)+-0.4362*((x1)**2)+-0.3004*((x2)**2)+-0.0014)))	
12	0.01218367	0.16480298	0.16514932	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
13	0.01374130	0.16481356	0.16501446	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
14	0.00842532	0.16487336	0.16600965	0.00003649	(((((0.2750*(cos(x0))+0.1014*(cos(x1))+-0.3361*(cos(x2))+0.1439))-((-0.0736*((x0)**4)+0.3038*((x1)**4)+0.3069*((x2)**4)+-0.1098))))*((-0.2466*((x0)**3)+0.7294*((x1)**3)+0.0818*((x2)**3)+0.0020)))	
