iteration	loss	baseline	error	formula	error	
1	1.05199146	0.26261494	0.26261494	0.00000005	(((((2.0097*(x0)+0.0485*(x1)+0.0272*(x2)+0.0516*(x3)+0.0568*(x4)+-0.0466))*((-0.0696*(0)+0.1404*(0)+0.0264*(0)+0.0276*(0)+0.0564*(0)+0.3082))))*((0.2126*(exp(x0))+0.2113*(exp(x1))+-1.0195*(exp(x2))+0.1815*(exp(x3))+0.2143*(exp(x4))+-0.0544)))	
2	1.38927674	0.26375183	0.28535280	0.00000004	(((((-1.4844*(x0)+0.0592*(x1)+0.0841*(x2)+0.0507*(x3)+0.0534*(x4)+-0.0620))*((-0.1440*(cos(x0))+0.0303*(cos(x1))+-0.1991*(cos(x2))+-0.3510*(cos(x3))+-0.2213*(cos(x4))+-0.0695))))*((0.0736*(exp(x0))+0.0790*(exp(x1))+-0.4479*(exp(x2))+0.0639*(exp(x3))+0.0769*(exp(x4))+0.0640)))	
3	0.39607230	0.26178798	0.22447470	0.00000004	(((((-1.4844*(x0)+0.0592*(x1)+0.0841*(x2)+0.0507*(x3)+0.0534*(x4)+-0.0620))*((-0.1440*(cos(x0))+0.0303*(cos(x1))+-0.1991*(cos(x2))+-0.3510*(cos(x3))+-0.2213*(cos(x4))+-0.0695))))*((0.0736*(exp(x0))+0.0790*(exp(x1))+-0.4479*(exp(x2))+0.0639*(exp(x3))+0.0769*(exp(x4))+0.0640)))	
4	0.51510942	0.26045108	0.23505032	0.00000004	(((((-1.4844*(x0)+0.0592*(x1)+0.0841*(x2)+0.0507*(x3)+0.0534*(x4)+-0.0620))*((-0.1440*(cos(x0))+0.0303*(cos(x1))+-0.1991*(cos(x2))+-0.3510*(cos(x3))+-0.2213*(cos(x4))+-0.0695))))*((0.0736*(exp(x0))+0.0790*(exp(x1))+-0.4479*(exp(x2))+0.0639*(exp(x3))+0.0769*(exp(x4))+0.0640)))	
5	0.12329672	0.25766781	0.20478587	0.00000004	(((((-1.4844*(x0)+0.0592*(x1)+0.0841*(x2)+0.0507*(x3)+0.0534*(x4)+-0.0620))*((-0.1440*(cos(x0))+0.0303*(cos(x1))+-0.1991*(cos(x2))+-0.3510*(cos(x3))+-0.2213*(cos(x4))+-0.0695))))*((0.0736*(exp(x0))+0.0790*(exp(x1))+-0.4479*(exp(x2))+0.0639*(exp(x3))+0.0769*(exp(x4))+0.0640)))	
6	0.65232795	0.25678211	0.23995404	0.00000004	(((((-1.4844*(x0)+0.0592*(x1)+0.0841*(x2)+0.0507*(x3)+0.0534*(x4)+-0.0620))*((-0.1440*(cos(x0))+0.0303*(cos(x1))+-0.1991*(cos(x2))+-0.3510*(cos(x3))+-0.2213*(cos(x4))+-0.0695))))*((0.0736*(exp(x0))+0.0790*(exp(x1))+-0.4479*(exp(x2))+0.0639*(exp(x3))+0.0769*(exp(x4))+0.0640)))	
7	1.15019321	0.25734770	0.26809382	0.00000004	(((((-1.4844*(x0)+0.0592*(x1)+0.0841*(x2)+0.0507*(x3)+0.0534*(x4)+-0.0620))*((-0.1440*(cos(x0))+0.0303*(cos(x1))+-0.1991*(cos(x2))+-0.3510*(cos(x3))+-0.2213*(cos(x4))+-0.0695))))*((0.0736*(exp(x0))+0.0790*(exp(x1))+-0.4479*(exp(x2))+0.0639*(exp(x3))+0.0769*(exp(x4))+0.0640)))	
8	0.25369322	0.25505427	0.21147905	0.00000004	(((((-1.4844*(x0)+0.0592*(x1)+0.0841*(x2)+0.0507*(x3)+0.0534*(x4)+-0.0620))*((-0.1440*(cos(x0))+0.0303*(cos(x1))+-0.1991*(cos(x2))+-0.3510*(cos(x3))+-0.2213*(cos(x4))+-0.0695))))*((0.0736*(exp(x0))+0.0790*(exp(x1))+-0.4479*(exp(x2))+0.0639*(exp(x3))+0.0769*(exp(x4))+0.0640)))	
9	1.37210739	0.25645447	0.28305832	0.00000002	(((((0.1908*(exp(x0))+0.1675*(exp(x1))+-0.8707*(exp(x2))+0.1466*(exp(x3))+0.1781*(exp(x4))+-0.0212))*((-1.2055*(x0)+0.0459*(x1)+0.0425*(x2)+0.0419*(x3)+0.0467*(x4)+-0.0436))))*((-0.4668*((x0)**3)+-0.2914*((x1)**3)+0.4940*((x2)**3)+-0.0184*((x3)**3)+-0.4007*((x4)**3)+-0.5720)))	
10	0.18531285	0.25422883	0.21194164	0.00000002	(((((0.1908*(exp(x0))+0.1675*(exp(x1))+-0.8707*(exp(x2))+0.1466*(exp(x3))+0.1781*(exp(x4))+-0.0212))*((-1.2055*(x0)+0.0459*(x1)+0.0425*(x2)+0.0419*(x3)+0.0467*(x4)+-0.0436))))*((-0.4668*((x0)**3)+-0.2914*((x1)**3)+0.4940*((x2)**3)+-0.0184*((x3)**3)+-0.4007*((x4)**3)+-0.5720)))	
11	0.31480226	0.25231484	0.21594910	0.00000002	(((((0.1908*(exp(x0))+0.1675*(exp(x1))+-0.8707*(exp(x2))+0.1466*(exp(x3))+0.1781*(exp(x4))+-0.0212))*((-1.2055*(x0)+0.0459*(x1)+0.0425*(x2)+0.0419*(x3)+0.0467*(x4)+-0.0436))))*((-0.4668*((x0)**3)+-0.2914*((x1)**3)+0.4940*((x2)**3)+-0.0184*((x3)**3)+-0.4007*((x4)**3)+-0.5720)))	
12	4.09395266	0.26210195	0.44805700	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
13	0.79564720	0.26156673	0.25139752	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
14	0.31823614	0.25985119	0.22725633	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
15	0.33290371	0.25770432	0.21691397	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
16	0.20269826	0.25580215	0.21966112	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
17	0.79956579	0.25536221	0.24700332	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
18	1.04874563	0.25556523	0.25942239	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
19	0.45731315	0.25439867	0.23223451	0.00000000	(((((-0.0815*(0)+0.2272*(0)+0.0153*(0)+0.1825*(0)+0.0799*(0)+0.0844))+((-0.9108*(sin(x0))+0.0433*(sin(x1))+0.0391*(sin(x2))+0.0428*(sin(x3))+0.0407*(sin(x4))+-0.1243))))*((-0.0663*(x0)+-0.0759*(x1)+0.8844*(x2)+-0.0734*(x3)+-0.0732*(x4)+0.0724)))	
