iteration	loss	baseline	error	formula	error	
1	0.62294364	0.18515870	0.18515870	0.00000100	(((((-0.1908*(sin(x0))+0.8307*(sin(x1))+-0.1623*(sin(x2))+0.1093))*((-0.3865*(exp(x0))+0.1880*(exp(x1))+0.2164*(exp(x2))+-0.1137))))-((0.2348*(sin(x0))+0.0620*(sin(x1))+-0.1654*(sin(x2))+-0.1672)))	
2	0.69146454	0.18366911	0.15536699	0.00000100	(((((-0.1908*(sin(x0))+0.8307*(sin(x1))+-0.1623*(sin(x2))+0.1093))*((-0.3865*(exp(x0))+0.1880*(exp(x1))+0.2164*(exp(x2))+-0.1137))))-((0.2348*(sin(x0))+0.0620*(sin(x1))+-0.1654*(sin(x2))+-0.1672)))	
3	0.83674967	0.18249799	0.16024667	0.00000054	(((((-0.1646*(sin(x0))+-0.0142*(sin(x1))+-0.6372*(sin(x2))+-0.1943))*((-0.6039*((x0)**3)+-1.3644*((x1)**3)+0.2436*((x2)**3)+-0.0076))))+((-0.2348*(sin(x0))+-0.0346*(sin(x1))+0.5063*(sin(x2))+-0.0106)))	
4	0.75831789	0.18185401	0.16961849	0.00000054	(((((-0.1646*(sin(x0))+-0.0142*(sin(x1))+-0.6372*(sin(x2))+-0.1943))*((-0.6039*((x0)**3)+-1.3644*((x1)**3)+0.2436*((x2)**3)+-0.0076))))+((-0.2348*(sin(x0))+-0.0346*(sin(x1))+0.5063*(sin(x2))+-0.0106)))	
5	0.64338720	0.18207110	0.18619600	0.00000054	(((((-0.1646*(sin(x0))+-0.0142*(sin(x1))+-0.6372*(sin(x2))+-0.1943))*((-0.6039*((x0)**3)+-1.3644*((x1)**3)+0.2436*((x2)**3)+-0.0076))))+((-0.2348*(sin(x0))+-0.0346*(sin(x1))+0.5063*(sin(x2))+-0.0106)))	
6	0.40533075	0.18004492	0.14154746	0.00000054	(((((-0.1646*(sin(x0))+-0.0142*(sin(x1))+-0.6372*(sin(x2))+-0.1943))*((-0.6039*((x0)**3)+-1.3644*((x1)**3)+0.2436*((x2)**3)+-0.0076))))+((-0.2348*(sin(x0))+-0.0346*(sin(x1))+0.5063*(sin(x2))+-0.0106)))	
7	0.43054101	0.17942584	0.16766332	0.00000054	(((((-0.1646*(sin(x0))+-0.0142*(sin(x1))+-0.6372*(sin(x2))+-0.1943))*((-0.6039*((x0)**3)+-1.3644*((x1)**3)+0.2436*((x2)**3)+-0.0076))))+((-0.2348*(sin(x0))+-0.0346*(sin(x1))+0.5063*(sin(x2))+-0.0106)))	
8	1.07212448	0.17969018	0.18471259	0.00000042	(((((0.9163*(sin(x0))+-0.0881*(sin(x1))+-0.1219*(sin(x2))+0.0423))*((-0.1293*(x0)+-1.0253*(x1)+-0.0043*(x2)+-0.1923))))-((-0.1157*(0)+-0.0993*(0)+0.0635*(0)+-0.2586)))	
9	0.63030261	0.17921363	0.17015915	0.00000042	(((((0.9163*(sin(x0))+-0.0881*(sin(x1))+-0.1219*(sin(x2))+0.0423))*((-0.1293*(x0)+-1.0253*(x1)+-0.0043*(x2)+-0.1923))))-((-0.1157*(0)+-0.0993*(0)+0.0635*(0)+-0.2586)))	
10	1.05178154	0.17943858	0.18371247	0.00000024	(((((-0.4555*(sin(x0))+-0.1224*(sin(x1))+1.1043*(sin(x2))+0.1050))*((0.0040*((x0)**4)+0.2722*((x1)**4)+0.0251*((x2)**4)+0.6897))))-((-0.3412*((x0)**2)+-0.4389*((x1)**2)+0.2975*((x2)**2)+0.1462)))	
11	1.21703017	0.18114804	0.21362780	0.00000016	(((((0.3362*(sin(x0))+0.2436*(sin(x1))+-0.5416*(sin(x2))+-0.0709))*((-0.1644*(exp(x0))+-0.4544*(exp(x1))+-0.0831*(exp(x2))+-0.0491))))-((-0.2486*((x0)**2)+-0.5346*((x1)**2)+0.1233*((x2)**2)+0.0338)))	
12	0.39932212	0.18093832	0.17695366	0.00000016	(((((0.3362*(sin(x0))+0.2436*(sin(x1))+-0.5416*(sin(x2))+-0.0709))*((-0.1644*(exp(x0))+-0.4544*(exp(x1))+-0.0831*(exp(x2))+-0.0491))))-((-0.2486*((x0)**2)+-0.5346*((x1)**2)+0.1233*((x2)**2)+0.0338)))	
13	0.08686500	0.17840666	0.13030484	0.00000016	(((((0.3362*(sin(x0))+0.2436*(sin(x1))+-0.5416*(sin(x2))+-0.0709))*((-0.1644*(exp(x0))+-0.4544*(exp(x1))+-0.0831*(exp(x2))+-0.0491))))-((-0.2486*((x0)**2)+-0.5346*((x1)**2)+0.1233*((x2)**2)+0.0338)))	
14	0.75266355	0.17878504	0.18597449	0.00000016	(((((0.3362*(sin(x0))+0.2436*(sin(x1))+-0.5416*(sin(x2))+-0.0709))*((-0.1644*(exp(x0))+-0.4544*(exp(x1))+-0.0831*(exp(x2))+-0.0491))))-((-0.2486*((x0)**2)+-0.5346*((x1)**2)+0.1233*((x2)**2)+0.0338)))	
15	0.83488876	0.17817162	0.16651653	0.00000016	(((((0.3362*(sin(x0))+0.2436*(sin(x1))+-0.5416*(sin(x2))+-0.0709))*((-0.1644*(exp(x0))+-0.4544*(exp(x1))+-0.0831*(exp(x2))+-0.0491))))-((-0.2486*((x0)**2)+-0.5346*((x1)**2)+0.1233*((x2)**2)+0.0338)))	
16	0.90421909	0.17900741	0.19488752	0.00000016	(((((0.3362*(sin(x0))+0.2436*(sin(x1))+-0.5416*(sin(x2))+-0.0709))*((-0.1644*(exp(x0))+-0.4544*(exp(x1))+-0.0831*(exp(x2))+-0.0491))))-((-0.2486*((x0)**2)+-0.5346*((x1)**2)+0.1233*((x2)**2)+0.0338)))	
17	1.14244401	0.17963460	0.19155118	0.00000010	(((((-0.4609*(x0)+0.3076*(x1)+0.2604*(x2)+0.0770))*((-0.2854*(sin(x0))+0.8978*(sin(x1))+-0.2489*(sin(x2))+0.0301))))+((-0.1848*(sin(x0))+-0.1184*(sin(x1))+0.3345*(sin(x2))+0.0731)))	
18	0.77932513	0.17835973	0.15413742	0.00000010	(((((-0.4609*(x0)+0.3076*(x1)+0.2604*(x2)+0.0770))*((-0.2854*(sin(x0))+0.8978*(sin(x1))+-0.2489*(sin(x2))+0.0301))))+((-0.1848*(sin(x0))+-0.1184*(sin(x1))+0.3345*(sin(x2))+0.0731)))	
19	0.93095702	0.17932104	0.19758593	0.00000010	(((((-0.4609*(x0)+0.3076*(x1)+0.2604*(x2)+0.0770))*((-0.2854*(sin(x0))+0.8978*(sin(x1))+-0.2489*(sin(x2))+0.0301))))+((-0.1848*(sin(x0))+-0.1184*(sin(x1))+0.3345*(sin(x2))+0.0731)))	
20	0.65783405	0.17911518	0.17520387	0.00000010	(((((-0.4609*(x0)+0.3076*(x1)+0.2604*(x2)+0.0770))*((-0.2854*(sin(x0))+0.8978*(sin(x1))+-0.2489*(sin(x2))+0.0301))))+((-0.1848*(sin(x0))+-0.1184*(sin(x1))+0.3345*(sin(x2))+0.0731)))	
21	1.08848763	0.17982981	0.19340794	0.00000010	(((((-0.4609*(x0)+0.3076*(x1)+0.2604*(x2)+0.0770))*((-0.2854*(sin(x0))+0.8978*(sin(x1))+-0.2489*(sin(x2))+0.0301))))+((-0.1848*(sin(x0))+-0.1184*(sin(x1))+0.3345*(sin(x2))+0.0731)))	
22	0.69667107	0.18055968	0.19442737	0.00000010	(((((-0.4609*(x0)+0.3076*(x1)+0.2604*(x2)+0.0770))*((-0.2854*(sin(x0))+0.8978*(sin(x1))+-0.2489*(sin(x2))+0.0301))))+((-0.1848*(sin(x0))+-0.1184*(sin(x1))+0.3345*(sin(x2))+0.0731)))	
23	0.70959878	0.17952113	0.15978871	0.00000010	(((((-0.4609*(x0)+0.3076*(x1)+0.2604*(x2)+0.0770))*((-0.2854*(sin(x0))+0.8978*(sin(x1))+-0.2489*(sin(x2))+0.0301))))+((-0.1848*(sin(x0))+-0.1184*(sin(x1))+0.3345*(sin(x2))+0.0731)))	
