iteration	loss	baseline	error	formula	error	
1	0.00501869	0.15566914	0.15566914	0.00004860	(((((-0.0309*(1)+-0.1177*(1)+-0.0587*(1)+-0.1671))-((0.0653*(sin(x0))+-0.5141*(sin(x1))+0.0456*(sin(x2))+-0.0929))))*((0.0036*(sin(x0))+-0.2108*(sin(x1))+-0.1211*(sin(x2))+-0.0115)))	
2	0.00833072	0.15563838	0.15505390	0.00004860	(((((-0.0309*(1)+-0.1177*(1)+-0.0587*(1)+-0.1671))-((0.0653*(sin(x0))+-0.5141*(sin(x1))+0.0456*(sin(x2))+-0.0929))))*((0.0036*(sin(x0))+-0.2108*(sin(x1))+-0.1211*(sin(x2))+-0.0115)))	
3	0.00645776	0.15569188	0.15670839	0.00004832	(((((0.0066*((x0)**2)+0.2651*((x1)**2)+-0.0609*((x2)**2)+-0.1586))*((-0.0731*(x0)+-0.0993*(x1)+-0.3046*(x2)+0.0397))))+((-0.0015*((x0)**2)+-0.0202*((x1)**2)+-0.0360*((x2)**2)+0.0099)))	
4	0.01093737	0.15569001	0.15565443	0.00004829	(((((-0.0474*((x0)**3)+-0.4767*((x1)**3)+0.0532*((x2)**3)+0.0089))+((0.0290*(exp(x0))+0.0090*(exp(x1))+-0.0703*(exp(x2))+0.1997))))*((-0.0492*(x0)+0.0904*(x1)+0.2493*(x2)+0.0218)))	
5	0.05145250	0.15548356	0.15156077	0.00004801	(((((-0.4292*(sin(x0))+0.5355*(sin(x1))+-0.0187*(sin(x2))+0.0127))*((-0.1936*(cos(x0))+-0.2579*(cos(x1))+-0.1402*(cos(x2))+0.0175))))*((-0.4853*((x0)**2)+1.2608*((x1)**2)+-0.0637*((x2)**2)+-0.4752)))	
6	0.00584339	0.15547124	0.15523708	0.00004801	(((((-0.4292*(sin(x0))+0.5355*(sin(x1))+-0.0187*(sin(x2))+0.0127))*((-0.1936*(cos(x0))+-0.2579*(cos(x1))+-0.1402*(cos(x2))+0.0175))))*((-0.4853*((x0)**2)+1.2608*((x1)**2)+-0.0637*((x2)**2)+-0.4752)))	
7	0.00800433	0.15546955	0.15543766	0.00004787	(((((0.0279*((x0)**4)+-0.1221*((x1)**4)+0.0174*((x2)**4)+-0.1547))-((-0.0817*(x0)+-0.0751*(x1)+-0.0360*(x2)+-0.1604))))-((0.0503*((x0)**2)+0.1663*((x1)**2)+0.0390*((x2)**2)+0.0028)))	
8	0.00550580	0.15555407	0.15715988	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
9	0.00321705	0.15567143	0.15790135	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
10	0.00292274	0.15572450	0.15673286	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
11	0.00906273	0.15575120	0.15625849	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
12	0.00584782	0.15569127	0.15455258	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
13	0.00994692	0.15559968	0.15385945	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
14	0.00660733	0.15560235	0.15565316	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
15	0.01264264	0.15563731	0.15630154	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
16	0.01116011	0.15569919	0.15687492	0.00004758	(((((0.1085*(sin(x0))+-0.8201*(sin(x1))+0.0145*(sin(x2))+0.4431))*((0.0971*(sin(x0))+-1.3136*(sin(x1))+0.1611*(sin(x2))+-0.0115))))*((-0.0796*(0)+-0.0570*(0)+0.1263*(0)+-0.4482)))	
