iteration	loss	baseline	error	formula	error	
1	0.18625323	0.21123166	0.21123166	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
2	0.15792876	0.21086864	0.20397119	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
3	0.03886838	0.20963322	0.18616025	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
4	0.06809844	0.20843665	0.18570219	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
5	0.13265197	0.20859745	0.21165295	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
6	0.19370231	0.20748085	0.18626538	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
7	0.17577092	0.20717944	0.20145269	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
8	0.03781492	0.20671412	0.19787300	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
9	0.27163312	0.20559947	0.18442138	0.00000420	(((((0.4832*(sin(x0))+-2.1381*(sin(x1))+0.4909*(sin(x2))+-0.2855*(sin(x3))+-0.2608*(sin(x4))+0.0723))*((1.8441*((x0)**2)+2.6504*((x1)**2)+2.8044*((x2)**2)+0.0042*((x3)**2)+0.0053*((x4)**2)+-0.0040))))*((-0.1661*(exp(x0))+-0.6294*(exp(x1))+-0.3431*(exp(x2))+0.7426*(exp(x3))+0.8750*(exp(x4))+0.1949)))	
10	0.27290148	0.20645574	0.22272496	0.00000313	(((((-0.8756*(x0)+1.3169*(x1)+-0.4956*(x2)+0.1430*(x3)+0.0475*(x4)+0.0743))-((-0.9744*((x0)**2)+1.5623*((x1)**2)+-0.2137*((x2)**2)+0.2683*((x3)**2)+0.1819*((x4)**2)+-0.0507))))*((-0.6898*(x0)+-1.3601*(x1)+-0.7226*(x2)+0.0368*(x3)+0.0528*(x4)+-0.0214)))	
