iteration	loss	baseline	error	formula	error	
1	0.27295619	0.19418004	0.19418004	0.00000711	(((((-0.2176*(exp(x0))+0.2532*(exp(x1))+0.3587*(exp(x2))+-0.0388*(exp(x3))+0.2743))*((0.2625*(sin(x0))+-1.3826*(sin(x1))+0.2100*(sin(x2))+-0.0517*(sin(x3))+0.2171))))-((-0.0358*(1)+0.1071*(1)+-0.0277*(1)+0.0474*(1)+0.0577)))	
2	1.26687074	0.19560410	0.22266124	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
3	0.32563269	0.19510753	0.18567283	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
4	0.36035037	0.19659053	0.22476725	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
5	0.24508475	0.19626589	0.19009793	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
6	0.02045411	0.19411191	0.15318623	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
7	0.31364691	0.19369462	0.18576632	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
8	0.27764121	0.19407827	0.20136745	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
9	0.33314157	0.19288738	0.17026077	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
10	0.28701216	0.19457386	0.22661714	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
11	0.31438333	0.19537319	0.21056044	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
12	0.49363896	0.19495201	0.18694958	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
13	0.35672206	0.19455886	0.18708901	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
14	0.04073663	0.19426075	0.18859641	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
15	0.28426909	0.19581126	0.22527103	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
16	0.49448508	0.19531260	0.18583837	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
17	0.43142289	0.19526783	0.19441716	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
18	0.24016333	0.19558132	0.20153759	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
19	0.38214105	0.19452038	0.17436276	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
20	0.45166779	0.19286098	0.16133232	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
21	1.00219941	0.19304831	0.19660763	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
22	0.55726546	0.19398540	0.21179008	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
23	1.57231402	0.19676717	0.24962063	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
24	0.67613578	0.19752683	0.21196036	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
25	0.18830532	0.19639586	0.17490751	0.00000063	(((((0.5356*(x0)+-1.6202*(x1)+0.6939*(x2)+-0.1215*(x3)+-0.0652))-((0.9280*((x0)**4)+-0.3140*((x1)**4)+1.9320*((x2)**4)+-0.4006*((x3)**4)+0.0982))))*((0.3842*(x0)+0.2990*(x1)+0.4961*(x2)+0.1094*(x3)+0.2428)))	
