iteration	loss	baseline	error	formula	error	
1	0.00674389	0.08431708	0.08431708	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
2	0.00754418	0.08431681	0.08431169	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
3	0.00569960	0.08429833	0.08394722	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
4	0.00658477	0.08425843	0.08350039	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
5	0.00725261	0.08427420	0.08457379	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
6	0.00389856	0.08422892	0.08336868	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
7	0.00936195	0.08416608	0.08297224	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
8	0.01041235	0.08410937	0.08303183	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
9	0.02933056	0.08402275	0.08237723	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
10	0.00432339	0.08398081	0.08318377	0.00075438	(((((2.1379*((x0)**2)+-1.3912*((x1)**2)+-0.2501*((x2)**2)+-0.0940))+((1.3734*(x0)+-4.6323*(x1)+1.4166*(x2)+0.0945))))*((0.6725*(x0)+-0.0501*(x1)+0.5667*(x2)+-0.6297)))	
