iteration	loss	baseline	error	formula	error	
1	0.03132672	0.08215780	0.08215780	0.00080142	(((((0.8312*(1)+0.8624*(1)+0.7621*(1)+0.7447))*((0.5414*(x0)+-0.1546*(x1)+0.4183*(x2)+-0.4164))))*((0.8187*((x0)**3)+-2.3553*((x1)**3)+-0.4469*((x2)**3)+-0.0170)))	
2	0.01018288	0.08234464	0.08589474	0.00072644	(((((0.9244*(x0)+-0.0851*(x1)+0.7759*(x2)+-0.8577))*((0.9317*(x0)+-3.6877*(x1)+1.0018*(x2)+0.0063))))*((1.2354*(cos(x0))+0.3030*(cos(x1))+-1.2061*(cos(x2))+0.5974)))	
3	0.00692031	0.08251309	0.08571357	0.00072644	(((((0.9244*(x0)+-0.0851*(x1)+0.7759*(x2)+-0.8577))*((0.9317*(x0)+-3.6877*(x1)+1.0018*(x2)+0.0063))))*((1.2354*(cos(x0))+0.3030*(cos(x1))+-1.2061*(cos(x2))+0.5974)))	
4	0.00668171	0.08263745	0.08500046	0.00072644	(((((0.9244*(x0)+-0.0851*(x1)+0.7759*(x2)+-0.8577))*((0.9317*(x0)+-3.6877*(x1)+1.0018*(x2)+0.0063))))*((1.2354*(cos(x0))+0.3030*(cos(x1))+-1.2061*(cos(x2))+0.5974)))	
5	0.00320673	0.08271097	0.08410787	0.00072644	(((((0.9244*(x0)+-0.0851*(x1)+0.7759*(x2)+-0.8577))*((0.9317*(x0)+-3.6877*(x1)+1.0018*(x2)+0.0063))))*((1.2354*(cos(x0))+0.3030*(cos(x1))+-1.2061*(cos(x2))+0.5974)))	
6	0.01651047	0.08275422	0.08357609	0.00071606	(((((0.9556*(sin(x0))+-0.5456*(sin(x1))+0.6492*(sin(x2))+-0.4510))*((1.8413*((x0)**3)+-3.1797*((x1)**3)+2.9477*((x2)**3)+1.8005))))*((2.9082*(sin(x0))+-4.0810*(sin(x1))+1.0777*(sin(x2))+0.0083)))	
7	0.00426867	0.08285360	0.08474176	0.00071606	(((((0.9556*(sin(x0))+-0.5456*(sin(x1))+0.6492*(sin(x2))+-0.4510))*((1.8413*((x0)**3)+-3.1797*((x1)**3)+2.9477*((x2)**3)+1.8005))))*((2.9082*(sin(x0))+-4.0810*(sin(x1))+1.0777*(sin(x2))+0.0083)))	
8	0.00619917	0.08290106	0.08380277	0.00071606	(((((0.9556*(sin(x0))+-0.5456*(sin(x1))+0.6492*(sin(x2))+-0.4510))*((1.8413*((x0)**3)+-3.1797*((x1)**3)+2.9477*((x2)**3)+1.8005))))*((2.9082*(sin(x0))+-4.0810*(sin(x1))+1.0777*(sin(x2))+0.0083)))	
9	0.00688415	0.08293339	0.08354769	0.00071606	(((((0.9556*(sin(x0))+-0.5456*(sin(x1))+0.6492*(sin(x2))+-0.4510))*((1.8413*((x0)**3)+-3.1797*((x1)**3)+2.9477*((x2)**3)+1.8005))))*((2.9082*(sin(x0))+-4.0810*(sin(x1))+1.0777*(sin(x2))+0.0083)))	
10	0.00748800	0.08301149	0.08449545	0.00071606	(((((0.9556*(sin(x0))+-0.5456*(sin(x1))+0.6492*(sin(x2))+-0.4510))*((1.8413*((x0)**3)+-3.1797*((x1)**3)+2.9477*((x2)**3)+1.8005))))*((2.9082*(sin(x0))+-4.0810*(sin(x1))+1.0777*(sin(x2))+0.0083)))	
