iteration	loss	baseline	error	formula	error	
1	0.99457157	0.16195910	0.16195910	0.00000371	(-0.6745*((((0.1162*((x0)**3)+-0.4884*((x1)**3)+-0.2828*((x2)**3)+0.0329*((x3)**3)+0.5493))*((0.4770*(x0)+-0.7332*(x1)+1.7431*(x2)+0.5246*(x3)+0.5646))))**2+0.2518)	
2	1.15470767	0.16240576	0.17089263	0.00000204	(-0.4155*((((0.4794*(x0)+-0.8632*(x1)+1.2612*(x2)+0.5093*(x3)+0.3513))*((0.4865*(x0)+1.0670*(x1)+0.4147*(x2)+0.4522*(x3)+0.4607))))**2+0.2571)	
3	2.34848046	0.16930784	0.30044729	0.00000004	(0.2366*(((0.3327*(cos(x0))+0.2518*(cos(x1))+0.3271*(cos(x2))+0.1958*(cos(x3))+0.1129))*((0.1993*(x0)+2.3409*(x1)+-1.6199*(x2)+0.1812*(x3)+0.0013)))+-0.0526)	
4	183.86454773	0.66229773	10.02910519	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
5	0.39992851	0.63747734	0.16589080	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
6	2.12661743	0.62423229	0.37257633	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
7	0.74790418	0.60168558	0.17329821	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
8	2.23385119	0.59132099	0.39439443	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
9	1.10366058	0.57326847	0.23027007	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
10	2.55743456	0.55787462	0.26539192	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
11	0.33095607	0.53829581	0.16629845	0.00000000	(0.5103*(((-0.0955*(0)+0.0963*(0)+-0.0428*(0)+-0.0344*(0)+-0.4456))*((-0.0248*(x0)+-2.6636*(x1)+2.1742*(x2)+-0.0248*(x3)+-0.0195)))+-0.0101)	
