Recovered,Deaths,Active
28,17,399
28,17,399
31,24,494
32,40,689
42,52,964
45,76,1302
80,125,3349
88,125,3341
90,162,4651
141,204,5461
168,249,6736
295,350,10532
386,414,12722
522,479,15677
633,549,18483
817,618,20677
1115,699,23139
1439,780,24881
1795,871,26965
2222,974,28532
2639,1068,29659
2686,1068,29612
3459,1310,43437
4774,1457,48175
5623,1596,49030
6639,1696,49847
7862,1789,50338
9128,1921,50633
10337,2029,49665
11788,2144,48510
11881,2144,48637
15299,2346,46439
15343,2346,46395
16748,2495,45044
18971,2563,43252
20969,2615,41603
23383,2641,39572
26403,2682,36829
28993,2727,34617
31536,2761,32610
33934,2803,30366
36208,2835,28174
38557,2871,25904
40592,2902,23972
42033,2931,22628
43500,2959,21207
45235,2986,19486
46488,3008,18247
47743,3024,16993
49134,3046,15593
50318,3056,14407
51553,3062,13171
52960,3075,11755
54288,3085,10421
55142,3099,9557
56003,3111,8685
56927,3122,7751
57682,3130,6988
58382,3133,6285
58946,3139,5715
59433,3153,5214
59879,3153,4768
60324,3160,4317
60811,3163,3827
61201,3169,3431
61732,3174,2895
62098,3177,2526
62570,3182,2049
62889,3186,1726
63153,3187,1461
63326,3193,1283
63471,3199,1132
63612,3203,987
63762,3207,834
63945,3210,648
64014,3212,577
64073,3212,518
64142,3213,448
64187,3215,401
64236,3216,351
64264,3219,320
64281,3219,303
64338,3221,244
64363,3221,219
64402,3222,179
64435,3222,146
63487,4512,129
63494,4512,122
63507,4512,109
63511,4512,105
63514,4512,102
63519,4512,97
63569,4512,47
63593,4512,23
63604,4512,12
63616,4512,0
63616,4512,0
63616,4512,0
63616,4512,0
63616,4512,0
